Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
CODE 5613,Community Development (CODE), Land Development and Use Control Strategies,"
This course will introduce students to the basic principles of land and real estate development.  The course will provide an overview of the development process, the land development team, site analysis reading development drawings and environmental issues.
",,,,2018-2019,,,,['land']
CODE 5743,Community Development (CODE), Global Community Development in the United States,"
This course will explore the role of immigrants, non-U.S. citizens, and foreign investors in developing rural and urban America.  The course will examine the role of immigration on shaping the social and economic form of American cities and suburbs, and the role of histroric preservations in economic development.
",,,,2018-2019,,,,[' rural ']
CPET 3231,Computer Engineering Tech (CPET), Microprocessor Assembly Language Laboratory,"
Exploring the Intel processor registers, their functionalities and responsibilities in computations, tracing individual instruction executions in debug mode, dedicated memory segments and address spaces in real and protected modes, microprocessor programming in solving engineering technology problems and program analysis at microprocessor level.Prerequisites: CPET 2111 and CPET 2113 and CPET 3233 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 3233,Computer Engineering Tech (CPET), Microprocessor Assembly Language,"
Microprocessor level data represented in binary and hexadecimal formats, Intel 32-bit architecture, real and protected mode address spaces, processor-memory working relationship, Intel programming mnemonics, program design and microprocessor level programming for solving engineering technology applications.Prerequisites: CPET 2111 and CPET 2113 and CPET 3231 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 3251,Computer Engineering Tech (CPET), Digital Hardware Design Laboratory,"
Laboratory experiments in design of digital computers and computer controlled devices. The internal operation of a microprocessor and computer. Registers and timing control, programmable gate arrays, array processors as computer models.Prerequisites: CPET 2111 and CPET 2113 and CPET 3253 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 3253,Computer Engineering Tech (CPET), Digital Hardware Design,"
Basic concepts used on the design of digital computers and computer-controlled devices. The internal operation of a microprocessor and computer. Registers and timing control, programmable gate arrays, array processors as computer models. Students will use individual board computers for doing simulation.Prerequisites: CPET 2111 and CPET 2113 and CPET 3251 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 4051,Computer Engineering Tech (CPET), Computer Systems Design Laboratory,"
Experiments involving interface logic and programmable I/O devices for microprocessor base systems. The course will introduce- based systems. Introduce system design CAD tools, simulation, verification and synthesis.Prerequisites: CPET 3161 and CPET 3163 and CPET 4053 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 4053,Computer Engineering Tech (CPET), Computer Systems Design,"
Study of modern digital design methodologies, operation, arithmetic operations, and the study of advanced analysis on microprocessor software engineering systems.Prerequisites: CPET 3161 and CPET 3163 and CPET 4051 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 4111,Computer Engineering Tech (CPET), Applications of Microprocessor Software Laboratory,"
Exercises in industrial applications programs. Use of micro assemblers to write floating point mathematical routines, special purposes languages. Engineering Technology applications are stressed.Prerequisites: CPET 3231 and CPET 3233 and CPET 4113 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 4113,Computer Engineering Tech (CPET), Software Applications of Microprocessors,"
Assembler-level programming of microprocessors and microcomputers with emphasis on writing industrial application programs. Use of micro assemblers to write floating point mathematical routines, special purpose languages, simulate other microprocessor instructions sets, generate re-locatable code, and linking leaders. Applications for Engineering Technology are stressed.Prerequisites: CPET 3231 and CPET 3233 and CPET 4111 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CPET 4153,Computer Engineering Tech (CPET), Micro Computer Peripheral Hardware,"
The elements of microprocessor peripheral hardware and its interfacing. Students will configure and construct microprocessor systems. Topics include series and parallel I/O devices, DMA and interrupt control devices, bus arbitration, and memory management units.Prerequisites: CPET 3161 and CPET 3163 and CPET 4151 (may be taken concurrently).
",,,,2018-2019,,,,['crop']
CINS 5203,Computer Information Systems (CINS), Web Application Dev I,"
Course focuses on the design and development of ""client-side"" web applications. Topics include Web 2.0. web application development methods, client-side scripting, session management, Ajax-enabled Rich Internet Applications, and reusable web application components. Technologies such as JavaScript, applets, Dreamweaver, Flash, XML, XHTML and Cascading Style Sheets are explored. The course includes an emphasis on the principles of good software engineering.Prerequisites: COMP 1224.
",,,,2018-2019,,,,[' apple']
COMP 2033,Computer Science (COMP), Assembly Language,"
Study of the logical design and internal operation of digital computers and programming using a macro assembly language. Using several practical exercises to illustrate machine structures and programming techniques for a typical microprocessor environment, such as the Intel processor/IBM PC architecture.Prerequisites: COMP 1224.
",,,,2018-2019,,,,['crop']
COMP 2143,Computer Science (COMP), Introduction to Java,"
An introduction to the Java Programming language. Includes coverage of Java Development Kit (JKD), applications, creating applets for enhancing web pages, and an introduction to the object model, and object oriented programming. Prerequisites: Proficiency in at least one programming language. Can be used as a computer science lower level elective.
",,,,2018-2019,,,,[' apple']
COMP 3043,Computer Science (COMP), Computer Organization,"
The study of a computer as a series of levels, each one built on its predecessor. Digital logic level, the microprogramming level, the conventional machine level, the operating systems level, and the assembly language level.Prerequisites: COMP 2043.
",,,,2018-2019,,,,['crop']
COMP 3333,Computer Science (COMP), Smart Device App Development,"
Introduction to app development for smart devices, specifically for Apple iOS or Google Android devices.  Differences between smart devices and traditional desk top computer systems will be examined.  Various app development environments will be covered, including Xcodc and programming language Objective-C for iOS, and Eclipse for Android.Prerequisites: COMP 2013.
",,,,2018-2019,,,,[' apple']
COMP 5193,Computer Science (COMP), Mobile Device App Design and Development,"
Introduction to app development for mobile devices, specifically for Apple iOS or Google Android devices.  Various app development environments will be covered, including Xcode and programming language Objective-C for iOS, or Eclipse for Android.  App design strategy will be discussed.Prerequisites: COMP 2013.
",,,,2018-2019,,,,[' apple']
CONS 3363,Construction Science (CONS), Surveying and Soils,"
Principles of surveying; use of surveying instruments, topographical surveys and traverses; field practice and computations. Basic considerations of site management and soils considerations for construction projects.Prerequisites: MATH 2318.
",,,,2018-2019,,,,[' soil']
CONS 3633,Construction Science (CONS), Surveying and Soils,"
Principles of surveying; use of surveying instruments, topographical surveys and traverses; field practice and computations. Basic considerations of site management and soils considerations for construction projects.Prerequisites: MATH 2183.
",,,,2018-2019,,,,[' soil']
CRJS 2443,Criminal Justice (CRJS), Introduction to Homeland Security,"
The course will introduce students to the history of the Department of Homeland Security as a federal entity and homeland security as an area of study in the United States. It will include major research and theoretical perspectives that have resulted in significant initiatives to keep persons in the United States safe from various threats.
",,,,2018-2019,,,,['land']
CRJS 2643,Criminal Justice (CRJS), Criminal Procedure,"
An examination of the Fourth, Fifth and Sixth Amendments regarding search and seizure, warrant requirements, the right to counsel, confessions, and the admissibility of evidence.
",,,,2018-2019,,,,[' amendment']
CRJS 3653,Criminal Justice (CRJS)," Drugs, Crime and Society","
This course will examine the relationship between drugs, alcohol, crime and human
behavior. It will include an examination of the social construction of drug issues, the war on drugs, drug control policy, and the function of drugs in popular cultural mediums. The course will also examine topics that include asset forfeiture, the confidential informant role in drug enforcement, drug ethnography, the leading theories of drug use and abuse, community and corrections-based substance abuse treatment, and drug enforcement strategies.
",,,,2018-2019,,,,['alcohol']
